reach_id,FromN,ToN,Slope,Wac,Q,n,D16,D50,D84,Length,x_FN,y_FN,x_TN,y_TN,el_FN,el_TN,deposit
1,1,2,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1802.37590053236,729475,5968735,729515,5967495,645.75133535207,620.029628875572,0
2,2,3,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1810.95454429506,729515,5967485,730365,5966685,620.029628875572,594.185496573938,0
3,3,4,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1807.81745930519,730375,5966675,730505,5965825,594.185496573938,568.386133612193,0
4,4,5,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1805.09667991878,730475,5965835,730255,5964685,568.386133612193,542.625598893072,0
5,5,6,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1814.09162928491,730245,5964685,730775,5964235,542.625598893072,516.736697251548,0
6,6,7,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1823.67532368146,730775,5964225,731125,5963045,516.736697251548,490.711026707289,0
7,7,8,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1799.23881554252,731105,5963025,730905,5961885,490.711026707289,465.034089570682,0
8,8,9,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1805.80735803744,730895,5961875,731275,5960965,465.034089570682,439.26341276413,0
9,9,10,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1812.37590053234,731285,5960955,732055,5961245,439.26341276413,413.398996287633,0
10,10,11,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1807.10678118655,732075,5961215,732965,5961385,413.398996287633,387.60977541332,0
11,11,12,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1806.5180361561,732975,5961375,733745,5962095,387.60977541332,361.828956519336,0
12,12,13,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1811.66522241369,733755,5962085,734855,5961845,361.828956519336,335.97468213027,0
13,13,14,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1806.81240867132,734855,5961875,735355,5962205,335.97468213027,310.189662246122,0
14,14,15,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1824.80230740356,735345,5962205,735815,5962015,310.189662246122,284.147908517165,0
15,15,16,0.014271,32.51447031,112.4069746,0.1,0.00141,0.002,0.004,1816.81240867131,735805,5962005,735915,5960685,284.147908517165,258.220178633017,0
16,16,17,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1773.38095116625,735925,5960665,737035,5960005,258.220178633017,252.900035779518,0
17,17,18,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1785.80735803744,737035,5959995,737985,5960405,252.900035779518,247.542613705406,0
18,18,19,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1784.38600180011,737975,5960415,738235,5960695,247.542613705406,242.189455700006,0
19,19,20,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1782.37590053236,738255,5960675,739135,5960865,242.189455700006,236.842327998409,0
20,20,21,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1778.52813742386,739145,5960865,740395,5960835,236.842327998409,231.506743586137,0
21,21,22,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1779.94949366115,740395,5960845,741565,5961095,231.506743586137,226.166895105154,0
22,22,23,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1775.80735803744,741585,5961115,741895,5960795,226.166895105154,220.839473031041,0
23,23,24,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1774.09162928491,741895,5960805,742875,5960775,220.839473031041,215.517198143187,0
24,24,25,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1790.95454429503,742885,5960775,743785,5959805,215.517198143187,210.144334510302,0
25,25,26,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1765.09667991878,743765,5959785,744545,5958575,210.144334510302,204.849044470545,0
26,26,27,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1775.09667991879,744545,5958565,745925,5958325,204.849044470545,199.523754430789,0
27,27,28,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1789.2388155425,745935,5958325,747195,5958085,199.523754430789,194.156037984161,0
28,28,29,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1770.2438661764,747215,5958075,748625,5957905,194.156037984161,188.845306385632,0
29,29,30,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1783.79725676968,748635,5957905,749895,5957415,188.845306385632,183.493914615323,0
30,30,31,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1792.67027304758,749895,5957405,750125,5955875,183.493914615323,178.11590379618,0
31,31,32,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1779.65512114594,750125,5955855,751295,5954865,178.11590379618,172.776938432743,0
32,32,33,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1770.66017177983,751305,5954855,752345,5953825,172.776938432743,167.464957917403,0
33,33,34,0.003,46.80249155,184.2903984,0.1,0.00141,0.002,0.004,1789.65512114592,752355,5953815,753015,5952535,167.464957917403,162.095992553965,0
34,34,35,0.003,46.80249155,207.2992583,0.1,0.00141,0.002,0.004,1809.94949366117,753015,5952505,752825,5951135,162.095992553965,156.666144072982,0
35,35,36,0.003,46.80249155,207.2992583,0.1,0.00141,0.002,0.004,1824.09162928491,752815,5951135,753305,5950385,156.666144072982,151.193869185127,0
36,36,37,0.002,42.5,288.5443416,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1980.95454429505,753295,5950375,752745,5948685,151.193869185127,147.231960096537,0
37,37,38,0.002,42.5,288.5443416,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1988.94444302729,752745,5948675,753545,5947085,147.231960096537,143.254071210482,0
38,38,39,0.002,42.5,288.5443416,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1999.65512114591,753555,5947075,754285,5945425,143.254071210482,139.254760968191,0
39,39,40,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1669.94949366117,754285,5945415,755015,5944145,139.254760968191,129.075420174529,0
40,40,41,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1666.10173055267,755015,5944135,756145,5943335,129.075420174529,118.919533797975,0
41,41,42,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1682.96464556281,756155,5943335,757625,5943635,118.919533797975,108.660857870412,0
42,42,43,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1666.3961030679,757645,5943635,758305,5944535,108.660857870412,98.5031771173433,0
43,43,44,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1669.23881554252,758315,5944535,759265,5943515,98.5031771173433,88.3281683317999,0
44,44,45,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1669.94949366116,759275,5943505,759055,5942355,88.3281683317999,78.148827538138,0
45,45,46,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1662.67027304759,759055,5942325,758035,5941515,78.148827538138,68.0138579470896,0
46,46,47,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1674.38600180013,758025,5941505,757625,5940185,68.0138579470896,57.8074739832887,0
47,47,48,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1680.83261120685,757625,5940175,756875,5939505,57.8074739832887,47.5617940800815,0
48,48,49,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1669.23881554252,756855,5939505,755455,5940145,47.5617940800815,37.3867852945382,0
49,49,50,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1672.37590053237,755445,5940145,754075,5939495,37.3867852945382,27.1926541000049,0
50,50,51,0.006095598,42.5,302.7672464,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1682.67027304758,754065,5939485,754155,5938365,27.1926541000049,16.9357725489566,0
51,51,52,0.0008,42.5,581.184711,0.1,0.0005,0.00118,0.00141,1649.53318805774,754165,5938345,755405,5937875,16.9357725489566,15.6161459985104,0
52,52,53,0.0008,42.5,581.184711,0.1,0.0005,0.00118,0.00141,1658.52813742386,755415,5937865,755925,5936475,15.6161459985104,14.2893234885713,0
53,53,54,0.0008,42.5,581.184711,0.1,0.0005,0.00118,0.00141,1668.94444302727,755935,5936465,756665,5935175,14.2893234885713,12.9541679341495,0
54,54,55,0.0008,42.5,581.184711,0.1,0.0005,0.00118,0.00141,1657.52308678998,756665,5935155,757145,5933925,12.9541679341495,11.6281494647175,0
55,55,56,0.0008,42.5,581.184711,0.1,0.0005,0.00118,0.00141,1655.51298552222,757155,5933925,758405,5933625,11.6281494647175,10.3037390762998,0
56,56,57,0.0008,42.5,581.184711,0.1,0.0005,0.00118,0.00141,1657.10678118654,758415,5933635,759365,5932825,10.3037390762998,8.97805365135054,0
57,57,58,0.0008,67.89721665,607.3738595,0.1,0.00071,0.00141,0.004,1599.82756057297,759385,5932805,760755,5932665,8.97805365135054,7.69819160289217,0
58,58,59,0.0008,67.89721665,607.3738595,0.1,0.00071,0.00141,0.004,1619.53318805775,760765,5932655,762165,5932305,7.69819160289217,6.40256505244597,0
59,59,60,0.0008,68.08531551,607.37,0.1,0.00071,0.00141,0.004,1944.68037431536,762175,5932295,763915,5932345,6.40256505244597,4.84682075299368,0
60,60,61,0.0008,68.08531551,607.37,0.1,0.00071,0.00141,0.004,1964.38600180013,763925,5932335,763935,5933285,4.84682075299368,3.27531195155358,0
61,61,62,0.0008,68.08531551,607.37,0.1,0.00071,0.00141,0.004,1940.66017177982,763915,5933285,764695,5934125,3.27531195155358,1.72278381412972,0
62,62,62,0.0008,68.08531551,607.37,0.1,0.00071,0.00141,0.004,1965.97979746447,764705,5934135,766465,5934305,1.72278381412972,0.149999976158142,0
63,63,64,0.178908,18.53519646,21.11697696,0.1,0.001,0.00475,0.025,323.847763108439,718995,5947095,719135,5946835,753.555907649982,695.616952047778,0
64,64,65,0.140951,18.94396339,12.00903724,0.1,0.001,0.00475,0.025,1513.96969619649,719135,5946835,720465,5946645,695.616952047778,482.221409399186,0
65,65,66,0.080919,19.80814899,12.91763722,0.1,0.001,0.00475,0.025,1647.81745930493,720465,5946645,721725,5946815,482.221409399186,348.88166840969,0
66,66,67,0.006,27.5384,31.19679663,0.1,0.0005,0.00236,0.00475,1884.80230740356,721725,5946815,722925,5946055,348.88166840969,337.572854565268,0
67,67,68,0.006,27.5384,31.19679663,0.1,0.0005,0.00236,0.00475,1901.66522241371,722935,5946055,723875,5945185,337.572854565268,326.162863230786,0
68,68,69,0.006,35.26873579,67.34227362,0.1,0.0005,0.00236,0.00475,1743.38095116625,723875,5945175,725135,5944645,326.162863230786,315.702577523789,0
69,69,70,0.006,35.26873579,67.34227362,0.1,0.0005,0.00236,0.00475,1748.23376490864,725145,5944635,726215,5945185,315.702577523789,305.213174934337,0
70,70,71,0.006,35.26873579,67.34227362,0.1,0.0005,0.00236,0.00475,1746.10173055266,726225,5945175,727685,5945145,305.213174934337,294.736564551021,0
71,71,72,0.006,35.26873579,67.34227362,0.1,0.0005,0.00236,0.00475,1742.37590053236,727705,5945135,729105,5944375,294.736564551021,284.282309147827,0
72,72,73,0.006,35.26873579,67.34227362,0.1,0.0005,0.00236,0.00475,1744.80230740356,729115,5944375,730125,5944005,284.282309147827,273.813495303405,0
73,73,74,0.006,35.26873579,67.34227362,0.1,0.0005,0.00236,0.00475,1757.52308678996,730125,5943995,730765,5942885,273.813495303405,263.268356782666,0
74,74,75,0.006,38.35663259,90.76700031,0.1,0.0005,0.00236,0.00475,2213.79725676967,730775,5942855,731855,5941875,263.268356782666,249.985573242048,0
75,75,76,0.006,38.35663259,90.76700031,0.1,0.0005,0.00236,0.00475,2236.22366364086,731865,5941885,732925,5941035,249.985573242048,236.568231260202,0
76,76,77,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1906.51803615609,732935,5941045,734005,5940005,236.568231260202,225.129123043266,0
77,77,78,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1924.09162928491,734015,5939995,734855,5940825,225.129123043266,213.584573267556,0
78,78,79,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1917.22871427472,734865,5940825,736315,5940465,213.584573267556,202.081200981908,0
79,79,80,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1910.66017177983,736335,5940455,736545,5939095,202.081200981908,190.617239951229,0
80,80,81,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1922.37590053237,736535,5939085,738075,5938585,190.617239951229,179.082984548035,0
81,81,82,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1922.08152801711,738085,5938575,738965,5937875,179.082984548035,167.550495379932,0
82,82,83,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1918.94444302729,738965,5937855,740235,5937495,167.550495379932,156.036828721769,0
83,83,84,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1915.80735803744,740245,5937505,740525,5936645,156.036828721769,144.541984573544,0
84,84,85,0.006,41.8139899,123.3767922,0.1,0.0005,0.00236,0.00475,1932.0815280171,740515,5936635,740855,5935255,144.541984573544,132.949495405441,0
85,85,86,0.006,45.54808468,167.2460773,0.1,0.0005,0.00118,0.00283,1808.94444302729,740875,5935235,741775,5934225,132.949495405441,122.095828747278,250
86,86,87,0.006,45.54808468,167.2460773,0.1,0.0005,0.00118,0.00283,1804.80230740356,741785,5934235,743035,5933695,122.095828747278,111.267014902856,250
87,87,88,0.006,45.54808468,167.2460773,0.1,0.0005,0.00118,0.00283,1819.65512114592,743045,5933685,744385,5932875,111.267014902856,100.349084175981,250
88,88,89,0.006,53.50733533,296.5623985,0.1,0.0005,0.00118,0.00283,1704.38600180013,744395,5932865,745245,5931855,100.349084175981,90.1227681651799,250
89,89,90,0.006,53.50733533,296.5623985,0.1,0.0005,0.00118,0.00283,1709.23881554252,745255,5931845,746005,5931315,90.1227681651799,79.8673352719248,250
90,90,91,0.006,53.50733533,296.5623985,0.1,0.0005,0.00118,0.00283,1709.94949366116,746015,5931305,747175,5930735,79.8673352719248,69.6076383099578,250
91,91,92,0.006,53.50733533,296.5623985,0.1,0.0005,0.00118,0.00283,1699.65512114594,747185,5930755,748395,5931365,69.6076383099578,59.4097075830822,250
92,92,93,0.006,53.50733533,296.5623985,0.1,0.0005,0.00118,0.00283,1718.23376490864,748405,5931355,749465,5931545,59.4097075830822,49.1003049936304,250
93,93,94,0.006,53.50733533,296.5623985,0.1,0.0005,0.00118,0.00283,1703.38095116623,749465,5931555,750885,5931185,49.1003049936304,38.880019286633,250
94,94,95,0.002,42.5,321.6114958,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1816.51803615609,750915,5931205,751445,5932585,38.880019286633,35.2469832143208,150
95,95,96,0.002,42.5,321.6114958,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1825.51298552222,751435,5932595,751385,5933735,35.2469832143208,31.5959572432764,150
96,96,97,0.002,42.5,321.6114958,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1834.09162928488,751385,5933745,751645,5935055,31.5959572432764,27.9277739847066,150
97,97,98,0.002,42.5,321.6114958,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1825.80735803744,751625,5935075,752265,5936475,27.9277739847066,24.2761592686317,150
98,98,99,0.002,42.5,321.6114958,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1835.09667991879,752275,5936485,752615,5937945,24.2761592686317,20.6059659087942,150
99,99,51,0.002,42.5,321.6114958,0.1,0.000233390034928619,0.000455452025285418,0.00102813731605753,1835.09667991877,752625,5937935,754155,5938325,20.6059659087942,16.9357725489566,150
100,100,101,0.045504,21.87461832,38.06320919,0.1,0.001,0.00475,0.025,2302.08152801672,718815,5951405,719835,5949865,1020.86040048214,916.106482631272,0
101,101,102,0.139742,24.28212321,29.03796213,0.1,0.001,0.00475,0.025,1832.37590053236,719835,5949865,720735,5948825,916.106482631272,660.046609539079,0
102,102,103,0.139742,24.28212321,29.03796213,0.1,0.001,0.00475,0.025,1845.09667991879,720735,5948815,721175,5947425,660.046609539079,402.209109293867,0
103,103,66,0.05776,24.60186945,27.92193193,0.1,0.001,0.00475,0.025,923.259018077864,721185,5947415,721725,5946815,402.209109293867,348.88166840969,0
104,104,105,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1705.80735803744,725965,5957115,727245,5957395,2293.9846859083,2159.22590462334,0
105,105,106,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1716.5180361561,727255,5957395,728275,5956555,2159.22590462334,2023.62097976701,0
106,106,107,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1717.81745930519,728285,5956545,729085,5955515,2023.62097976701,1887.9134004819,0
107,107,108,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1712.67027304759,729075,5955485,729915,5954695,1887.9134004819,1752.61244891114,0
108,108,109,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1716.81240867133,729925,5954685,730695,5954125,1752.61244891114,1616.98426862611,0
109,109,110,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1724.09162928488,730705,5954125,731865,5954195,1616.98426862611,1480.7810299126,0
110,110,111,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1709.23881554251,731895,5954185,731805,5955105,1480.7810299126,1345.75116348474,0
111,111,112,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1729.23881554252,731795,5955115,731865,5956295,1345.75116348474,1209.14129705688,0
112,112,113,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1716.10173055266,731875,5956295,731875,5957585,1209.14129705688,1073.56926034322,0
113,113,114,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1708.23376490863,731885,5957615,731825,5958605,1073.56926034322,938.61879291544,0
114,114,115,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1720.2438661764,731835,5958615,732385,5959355,938.61879291544,802.719527487504,0
115,115,116,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1721.95959492892,732395,5959355,733415,5959715,802.719527487504,666.68471948812,0
116,116,117,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1716.10173055267,733445,5959725,734375,5960265,666.68471948812,531.112682774459,0
117,117,118,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1725.09667991879,734385,5960265,734935,5960675,531.112682774459,394.830045060875,0
118,118,16,0.079,27.83335753,64.66621869,0.1,0.00141,0.002,0.004,1729.2388155425,734935,5960665,735905,5960665,394.830045060875,258.220178633017,0
119,119,120,0.042946,17.323804,16.60125655,0.1,0.001,0.00475,0.025,1902.67027304729,718685,5942515,719715,5942945,907.85561144216,826.143533895871,0
120,120,121,0.152781,18.3344973,10.69261217,0.1,0.001,0.00475,0.025,2643.50288425398,719715,5942945,721175,5944545,826.143533895871,422.266519736665,0
121,121,122,0.029,43.8,28.18087677,0.1,0.001,0.00475,0.025,1647.8174593052,721175,5944545,722505,5944975,422.266519736665,374.479813416814,0
122,122,68,0.029,43.8,28.18087677,0.1,0.001,0.00475,0.025,1666.10173055267,722515,5944975,723865,5945185,374.479813416814,326.162863230786,0
123,123,124,0.022,14.13012464,5.570966388,0.1,0.00071,0.00141,0.002,2409.65512114594,719995,5938735,721335,5937975,1157.21230925349,1104.19989658828,0
124,124,125,0.022,14.13012464,5.570966388,0.1,0.00071,0.00141,0.002,2416.22366364086,721345,5937965,721575,5936345,1104.19989658828,1051.04297598818,0
125,125,126,0.022,14.13012464,5.570966388,0.1,0.00071,0.00141,0.002,2408.35569799683,721595,5936325,722865,5934965,1051.04297598818,998.059150632249,0
126,126,127,0.022,14.13012464,5.570966388,0.1,0.00071,0.00141,0.002,2411.7871555019,722875,5934965,723945,5933725,998.059150632249,944.999833211207,0
127,127,128,0.022,14.13012464,5.570966388,0.1,0.00071,0.00141,0.002,2406.93434175952,723975,5933715,723885,5932445,944.999833211207,892.047277692498,0
128,128,129,0.022,14.13012464,5.570966388,0.1,0.00071,0.00141,0.002,2405.21861300697,723875,5932435,723785,5930695,892.047277692498,839.132468206344,0
